2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :329  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :330  | РАСШИРЕННЫЙ ЛОГГЕР ИНИЦИАЛИЗИРОВАН
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :331  | Имя: api_format_checker
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :332  | Уровень: DEBUG
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :333  | Обработчики: 5
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :334  | Основной лог: logs\api_checker.log
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :335  | Лог ошибок: logs\errors.log
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :336  | JSON лог: logs\structured.json
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :337  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :946  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :947  | СКРИПТ ЗАПУЩЕН НАПРЯМУЮ
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :948  | Аргументы командной строки: ['format.py', 'test_api.md']
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :949  | Рабочая директория: C:\Users\nikav\Desktop\ТМП\TMP-labs\lab_5
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :950  | Пользователь: nikav
2025-12-06 01:12:18 | api_format_checker                  | DEBUG    | format          | <module>                 :951  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | <module>                 :960  | Целевой файл: test_api.md
2025-12-06 01:12:18 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: main_program_execution
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :814  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :815  | ЗАПУСК ПРОГРАММЫ ПРОВЕРКИ API-ЛИСТА
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :816  | Файл: test_api.md
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :817  | Время: 2025-12-06 01:12:18
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :818  | PID: 31008
2025-12-06 01:12:18 | api_format_checker                  | INFO     | format          | main                     :819  | ====================================================================================================
2025-12-06 01:12:18 | api_format_checker.errors           | CRITICAL | logger_config   | critical                 :56   | Файл не найден: test_api.md
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :329  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :330  | РАСШИРЕННЫЙ ЛОГГЕР ИНИЦИАЛИЗИРОВАН
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :331  | Имя: api_format_checker
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :332  | Уровень: DEBUG
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :333  | Обработчики: 5
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :334  | Основной лог: logs\api_checker.log
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :335  | Лог ошибок: logs\errors.log
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :336  | JSON лог: logs\structured.json
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | logger_config   | setup_logger             :337  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :946  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :947  | СКРИПТ ЗАПУЩЕН НАПРЯМУЮ
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :948  | Аргументы командной строки: ['format.py', 'test_api_list.md']
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :949  | Рабочая директория: C:\Users\nikav\Desktop\ТМП\TMP-labs\lab_5
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :950  | Пользователь: nikav
2025-12-06 01:13:02 | api_format_checker                  | DEBUG    | format          | <module>                 :951  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | <module>                 :960  | Целевой файл: test_api_list.md
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: main_program_execution
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :814  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :815  | ЗАПУСК ПРОГРАММЫ ПРОВЕРКИ API-ЛИСТА
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :816  | Файл: test_api_list.md
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :817  | Время: 2025-12-06 01:13:02
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :818  | PID: 12992
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | main                     :819  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   | ИНФОРМАЦИЯ О ФАЙЛЕ:
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Размер: 1016 байт (1.0 KB)
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Путь: C:\Users\nikav\Desktop\ТМП\TMP-labs\lab_5\test_api_list.md
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Время изменения: 2025-12-06 00:04:19
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: analyze_file_content
2025-12-06 01:13:02 | api_format_checker.validation       | INFO     | logger_config   | info                     :44   | Анализ содержимого файла
2025-12-06 01:13:02 | api_format_checker.validation       | INFO     | logger_config   | info                     :44   | Анализ завершен: 25 строк, 0 категорий
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Распределение по типам строк: {'main_header': 1, 'section_header': 4, 'index_entry': 3, 'table_row': 10, 'table_separator': 3}
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: analyze_file_content (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: analyze_file_content_time = 3.673553466796875ms
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   | СТАТИСТИКА ФАЙЛА:
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Всего строк: 25
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Непустых строк: 21 (84.0%)
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Категорий: 0
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Строк с API: 10
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_file_format
